ID;LAT;LNG;BANCO;RED;DOM_GEO;TERMINALES;BARRIO;RED_CODE;RETIROS;RECARGAS
156;-34.6000256692843;-58.43773211133511;BBVA-BANCO FRANCES;BANELCO;5117 CORRIENTES AV.;1;VILLA CRESPO;1;0;1000
157;-34.5992845927709;-58.43913769081771;BANCO GALICIA;BANELCO;5253 CORRIENTES AV.;3;VILLA CRESPO;1;0;3000
158;-34.59890335496844;-58.4401326660194;HSBC ARGENTINA;BANELCO;5322 CORRIENTES AV.;2;VILLA CRESPO;1;0;2000
159;-34.598456888055736;-58.44061383893461;BANCO PATAGONIA;BANELCO;5376 CORRIENTES AV.;2;VILLA CRESPO;1;0;2000
160;-34.598374207299756;-58.44070294442936;ICBC;BANELCO;5386 CORRIENTES AV.;2;VILLA CRESPO;1;0;2000
161;-34.60309899257748;-58.37461467148454;BANCO ITAU;BANELCO;555 CORRIENTES AV.;4;SAN NICOLAS;1;0;4000
162;-34.59662540745677;-58.44200349458148;BANCO ITAU;BANELCO;5555 CORRIENTES AV.;2;VILLA CRESPO;1;0;2000
163;-34.60374300978531;-58.37922500700476;CITIBANK;BANELCO;886 CORRIENTES AV.;2;SAN NICOLAS;1;0;2000
164;-34.603795219151436;-58.3800771710701;BBVA-BANCO FRANCES;BANELCO;942 CORRIENTES AV.;2;SAN NICOLAS;1;0;2000
165;-34.568948113848364;-58.45793961489919;BANCO SUPERVIELLE;BANELCO;1710 CRAMER AV.;2;BELGRANO;1;0;2000
166;-34.56591187308534;-58.46063286892509;BANCO SANTANDER RIO;BANELCO;2000 CRAMER AV.;3;BELGRANO;1;0;3000
167;-34.56525624826659;-58.461142513653236;BANCO PATAGONIA;BANELCO;2060 CRAMER AV.;1;BELGRANO;1;0;1000
168;-34.57441759265982;-58.50214102468016;BANCO GALICIA;BANELCO;5668 DE LOS CONSTITUYENTES AV.;2;VILLA PUEYRREDON;1;0;2000
169;-34.583541779538315;-58.477642291140306;BANCO GALICIA;BANELCO;4763 DE LOS INCAS AV.;2;PARQUE CHAS;1;0;2000
170;-34.57892560383937;-58.46972899758027;BANCO MACRO;BANELCO;4138 DE LOS INCAS AV.;1;VILLA ORTUZAR;1;0;1000
171;-34.60897567572012;-58.38292279922375;BBVA-BANCO FRANCES;BANELCO;1165 DE MAYO AV.;2;MONSERRAT;1;0;2000
172;-34.609037269435;-58.38382116575753;BANCO GALICIA;BANELCO;1225 DE MAYO AV.;3;MONSERRAT;1;0;3000
173;-34.60923466430629;-58.38669979843925;BANCO PATAGONIA;BANELCO;1441 DE MAYO AV.;3;MONSERRAT;1;0;3000
174;-34.60896137572459;-58.37747631373025;BBVA-BANCO FRANCES;BANELCO;782 DE MAYO AV.;2;MONSERRAT;1;0;2000
